Date,Close,High,Low,Open,Volume
03-01-2000,6.76512146,6.76512146,6.605942283,6.605942283,665180
04-01-2000,6.916338921,7.300358969,6.804913918,7.24265706,3374200
05-01-2000,6.643746376,6.920320308,6.566146583,6.765120722,3196400
06-01-2000,6.697468758,6.765119988,6.578084591,6.685530037,1700520
07-01-2000,6.699458122,6.80491492,6.452730643,6.452730643,1702880
10-01-2000,6.601960659,7.143170451,6.566145261,6.880524701,2008680
11-01-2000,6.502473831,6.68155083,6.247786839,6.625837564,2915680
12-01-2000,6.58405304,6.68354009,6.458699143,6.516401815,1719040
13-01-2000,6.57012701,6.761142026,6.566147436,6.761142026,965520
14-01-2000,6.58405304,6.685529497,6.526350368,6.685529497,1163040
17-01-2000,7.111335754,7.111335754,6.846699797,6.924299586,2748080
18-01-2000,6.594002247,7.111335417,6.54823829,7.111335417,5113040
19-01-2000,7.123274803,7.123274803,6.844711434,6.844711434,6996360
20-01-2000,7.107357025,7.354084551,7.003890374,7.354084551,5381960
21-01-2000,7.48739481,7.640604942,6.848687439,7.003887737,9446580
24-01-2000,7.980852127,8.086308168,7.680400779,7.911210729,8987320
25-01-2000,8.619557381,8.619557381,7.919168504,7.919168504,5805820
26-01-2000,8.619557381,8.619557381,8.619557381,8.619557381,0
27-01-2000,9.140869141,9.309997567,8.804603212,8.914038806,11271640
28-01-2000,9.06924057,9.2721935,8.914040243,9.152809334,9583300
31-01-2000,9.461219788,9.795496389,9.15678961,9.15678961,12747600
01-02-2000,9.588562012,9.709936339,9.351783096,9.391578069,7815580
02-02-2000,9.709939003,10.35660503,9.51096484,10.35461563,6876640
03-02-2000,8.991641045,9.948706924,8.933939121,9.709937806,5693740
04-02-2000,9.111026764,9.23240112,8.655375766,9.150821747,5314080
07-02-2000,9.817383766,9.84126045,9.152810131,9.351784264,7780700
08-02-2000,9.978552818,10.0999264,9.554737713,9.948706396,6104160
09-02-2000,10.04819107,10.38644716,9.79350449,10.14767811,6344660
10-02-2000,10.01834679,10.42624435,9.879065508,9.948706147,4201720
11-02-2000,9.23637867,10.30685969,9.218471727,10.15166012,5296460
14-02-2000,9.290102005,9.35178426,8.760830841,9.35178426,5050880
15-02-2000,9.057301521,9.351783111,8.957814467,9.311988138,3881740
16-02-2000,9.783556938,9.783556938,9.152809354,9.745752129,1412000
17-02-2000,9.964625359,10.25512742,9.875086843,10.25512742,4683200
18-02-2000,9.654222488,10.06808818,9.510960907,9.988499005,2375540
21-02-2000,9.397547722,9.86911618,9.355763338,9.680091371,2209440
22-02-2000,8.657363892,9.550758052,8.647415337,9.39356831,3496120
23-02-2000,8.73297596,9.347806159,8.655376157,8.993632389,2690160
24-02-2000,9.033426285,9.152810466,8.575785154,8.834452144,1757840
25-02-2000,9.033426285,9.311989626,8.834452144,9.150821058,2530640
28-02-2000,9.05531311,9.152810777,8.754862482,9.146841795,1714420
29-02-2000,8.627515793,9.51096039,8.337013833,9.073217284,5173760
